x,BER Mean Restricted,std
1,0.495605469,0.012591599
2,0.502880859,0.013948872
3,0.498242188,0.010054801
4,0.493066406,0.010167043
5,0.493554688,0.015400301
6,0.496972656,0.009647232
7,0.491503906,0.012727573
8,0.490527344,0.010758156
9,0.488525391,0.014079529
10,0.486914063,0.012925719
11,0.494873047,0.01316776
12,0.496533203,0.008983446
13,0.486083984,0.012428173
14,0.490527344,0.012819034
15,0.486279297,0.013618496
16,0.488378906,0.008007813
17,0.484765625,0.014208565
18,0.489599609,0.016533999
19,0.48828125,0.013594929
20,0.484472656,0.013166946
21,0.487158203,0.009618149
22,0.486962891,0.013365088
23,0.482568359,0.010771113
24,0.490771484,0.014916892
25,0.486914063,0.013343218
26,0.481738281,0.0089242
27,0.4765625,0.014599528
28,0.482128906,0.01667207
29,0.478613281,0.017520794
30,0.471728516,0.014601895
31,0.471630859,0.011977232
32,0.475634766,0.017346634
33,0.477929688,0.018711814
34,0.472802734,0.01035352
35,0.470166016,0.020394088
36,0.464648438,0.019406585
37,0.471191406,0.015913774
38,0.464648438,0.016060223
39,0.469824219,0.019587078
40,0.461279297,0.01724822
41,0.462988281,0.020704277
42,0.458349609,0.018835319
43,0.460742188,0.021840095
44,0.45625,0.026270439
45,0.452490234,0.026986585
46,0.455615234,0.033436714
47,0.447607422,0.02499795
48,0.447607422,0.026949454
49,0.446191406,0.025004387
50,0.444580078,0.025974773
51,0.439208984,0.02764142
52,0.436279297,0.029849324
53,0.432958984,0.031456115
54,0.440283203,0.028172643
55,0.434716797,0.03326629
56,0.424755859,0.024140508
57,0.432714844,0.031151272
58,0.429199219,0.032207321
59,0.425048828,0.030117297
60,0.421386719,0.031288886
61,0.426269531,0.031427262
62,0.421582031,0.028781436
63,0.415966797,0.025494127
64,0.4140625,0.030801221
65,0.414501953,0.034709517
66,0.411279297,0.032951605
67,0.413818359,0.023995683
68,0.408300781,0.032652693
69,0.414892578,0.034165071
70,0.407177734,0.025350639
71,0.400048828,0.032261352
72,0.401171875,0.031630828
73,0.398876953,0.034641447
74,0.400976563,0.036440832
75,0.399169922,0.031022003
76,0.397900391,0.024700903
77,0.390527344,0.026544542
78,0.398242188,0.033557535
79,0.388818359,0.030396871
80,0.385498047,0.031696374
81,0.385449219,0.032600371
82,0.381054688,0.033496378
83,0.384570313,0.034375971
84,0.385107422,0.035877908
85,0.380126953,0.042404774
86,0.372314453,0.028715961
87,0.370605469,0.037346973
88,0.380126953,0.033327297
89,0.370751953,0.033910808
90,0.363037109,0.040150408
91,0.369775391,0.042192162
92,0.360009766,0.038323111
93,0.361376953,0.036573178
94,0.362597656,0.039612341
95,0.366064453,0.049661372
96,0.361083984,0.040864357
97,0.357861328,0.042389703
98,0.361669922,0.043684147
99,0.352880859,0.05125188
100,0.354882813,0.043816978
101,0.349169922,0.04423432
102,0.351611328,0.041086162
103,0.34375,0.042800296
104,0.347558594,0.048779663
105,0.343554688,0.048544194
106,0.349755859,0.043626256
107,0.341357422,0.043512106
108,0.339550781,0.043943251
109,0.337890625,0.040837364
110,0.339941406,0.045167362
111,0.331738281,0.042328775
112,0.337451172,0.045359436
113,0.335351563,0.042039172
114,0.326269531,0.046723081
115,0.325683594,0.041537211
116,0.317041016,0.04524871
117,0.325439453,0.047150502
118,0.320996094,0.035047711
119,0.32265625,0.044728162
120,0.324267578,0.046503989
121,0.3171875,0.044201834
122,0.314257813,0.034147725
123,0.3171875,0.036027878
124,0.308154297,0.042465565
125,0.308251953,0.041627831
126,0.303027344,0.032854616
127,0.308642578,0.037297433
128,0.301660156,0.040680481
129,0.303222656,0.039728214
130,0.303955078,0.043359952
131,0.303710938,0.040990622
132,0.301708984,0.037823017
133,0.292773438,0.037003988
134,0.294824219,0.03767608
135,0.29765625,0.042218797
136,0.287841797,0.036175182
137,0.289453125,0.03875723
138,0.284765625,0.038934605
139,0.289697266,0.032178475
140,0.287890625,0.037604124
141,0.286279297,0.036891612
142,0.288769531,0.038644122
143,0.279589844,0.041190337
144,0.280517578,0.040581577
145,0.277148438,0.04082113
146,0.280566406,0.045079335
147,0.280566406,0.040860243
148,0.281933594,0.04718788
149,0.278369141,0.038243645
150,0.276318359,0.046985978
151,0.273388672,0.047878684
152,0.277001953,0.050103486
153,0.270947266,0.044267186
154,0.272460938,0.049620043
155,0.268652344,0.043978286
156,0.272119141,0.044290124
157,0.270166016,0.045376043
158,0.270068359,0.043427093
159,0.266503906,0.042810767
160,0.25859375,0.037786912
161,0.265820313,0.046412513
162,0.260644531,0.04345747
163,0.265722656,0.045518604
164,0.263720703,0.040338326
165,0.261181641,0.03612651
166,0.257910156,0.04440826
167,0.2515625,0.040904915
168,0.250683594,0.040120677
169,0.246191406,0.03980843
170,0.254638672,0.03873597
171,0.249560547,0.040969358
172,0.256640625,0.040231056
173,0.251464844,0.037361653
174,0.250146484,0.043381831
175,0.249462891,0.043720372
176,0.252636719,0.038122353
177,0.247998047,0.042459389
178,0.242773438,0.040513105
179,0.248681641,0.040808191
180,0.248046875,0.041886449
181,0.246679688,0.033684895
182,0.244628906,0.034694779
183,0.241357422,0.039077176
184,0.245214844,0.041768915
185,0.247460938,0.041143194
186,0.248974609,0.038780999
187,0.242529297,0.040045642
188,0.240917969,0.038219168
189,0.24609375,0.043428493
190,0.239746094,0.03886915
191,0.234912109,0.043309996
192,0.240478516,0.042524924
193,0.239892578,0.037070839
194,0.241357422,0.045033748
195,0.244189453,0.042280448
196,0.242333984,0.044201753
197,0.239257813,0.041113745
198,0.240283203,0.044166355
199,0.233105469,0.044619503
200,0.238964844,0.043528952
201,0.234521484,0.04233038
202,0.235742188,0.040945695
203,0.231396484,0.043907563
204,0.234082031,0.044284821
205,0.232666016,0.039482755
206,0.236523438,0.040986085
207,0.237402344,0.038685189
208,0.236669922,0.039777424
209,0.227197266,0.039873807
210,0.231396484,0.040204528
211,0.23203125,0.043307987
212,0.231396484,0.040605188
213,0.226904297,0.039992023
214,0.230566406,0.035041996
215,0.224462891,0.038094732
216,0.230371094,0.037668485
217,0.229638672,0.036227738
218,0.229248047,0.034476425
219,0.226171875,0.038713529
220,0.229052734,0.041511058
221,0.223144531,0.040712819
222,0.221875,0.038219792
223,0.22265625,0.035771392
224,0.229150391,0.042451302
225,0.225878906,0.038141111
226,0.22578125,0.039686904
227,0.216845703,0.041777847
228,0.220898438,0.035986825
229,0.219873047,0.039761237
230,0.222949219,0.037717443
231,0.2234375,0.038807272
232,0.219482422,0.042222778
233,0.220703125,0.034198516
234,0.223193359,0.039735085
235,0.220068359,0.034023815
236,0.215185547,0.03987321
237,0.215820313,0.043052453
238,0.214453125,0.042442175
239,0.211865234,0.038654146
240,0.220214844,0.04069759
241,0.218408203,0.041067356
242,0.219140625,0.037714662
243,0.214208984,0.040087296
244,0.217041016,0.041696045
245,0.211132813,0.036465294
246,0.208496094,0.037573552
247,0.214404297,0.033371764
248,0.208984375,0.039484416
249,0.218896484,0.040881739
250,0.209814453,0.042180294
