x,BER Mean,std
1,0.490820313,0.010645875
2,0.491113281,0.009791957
3,0.491699219,0.010132277
4,0.495458984,0.011828204
5,0.487304688,0.005467878
6,0.485449219,0.008888328
7,0.486767578,0.012739276
8,0.487109375,0.010899068
9,0.48671875,0.010492481
10,0.483740234,0.013617796
11,0.479833984,0.012364319
12,0.475830078,0.00853096
13,0.473046875,0.016908638
14,0.478759766,0.015703007
15,0.468701172,0.019493922
16,0.472802734,0.014573457
17,0.474267578,0.018678976
18,0.463916016,0.017035978
19,0.465478516,0.017190066
20,0.470800781,0.018901972
21,0.458300781,0.018098314
22,0.461523438,0.014320549
23,0.452490234,0.017096887
24,0.455761719,0.019480158
25,0.443017578,0.012103171
26,0.448681641,0.011613398
27,0.440429688,0.020500836
28,0.446386719,0.0212094
29,0.442480469,0.02074684
30,0.443701172,0.019063053
31,0.430957031,0.02560494
32,0.427783203,0.01923289
33,0.422998047,0.014080883
34,0.423291016,0.020811839
35,0.417724609,0.02616044
36,0.414648438,0.018334685
37,0.417529297,0.016033851
38,0.409912109,0.018816575
39,0.405273438,0.023365163
40,0.410107422,0.020233293
41,0.402490234,0.018316796
42,0.395605469,0.026467186
43,0.391992188,0.016867697
44,0.389013672,0.020590248
45,0.381298828,0.017214182
46,0.378466797,0.019263856
47,0.381054688,0.019043219
48,0.378613281,0.019591217
49,0.363623047,0.019451804
50,0.364941406,0.018635719
51,0.358935547,0.023215142
52,0.354248047,0.013675798
53,0.347558594,0.024111207
54,0.349707031,0.023701315
55,0.347070313,0.027754655
56,0.33828125,0.034022238
57,0.340869141,0.030962922
58,0.332470703,0.02799896
59,0.333349609,0.030747803
60,0.331689453,0.030242747
61,0.319873047,0.024914261
62,0.321240234,0.021205634
63,0.318994141,0.024984593
64,0.313427734,0.030144358
65,0.304980469,0.024162967
66,0.30234375,0.02707721
67,0.302001953,0.024748924
68,0.300634766,0.026105518
69,0.302587891,0.032959563
70,0.293212891,0.026304949
71,0.286621094,0.025725518
72,0.282861328,0.020580982
73,0.280566406,0.02678275
74,0.270068359,0.020841603
75,0.268261719,0.012675014
76,0.266552734,0.014088331
77,0.263720703,0.01822336
78,0.259570313,0.017995267
79,0.254443359,0.011861215
80,0.250439453,0.010326773
81,0.250927734,0.011402073
82,0.248242188,0.0149037
83,0.248779297,0.013972439
84,0.245800781,0.0156497
