x,Average Energy Unrestricted,std
1,0.3123269,0.01758044
2,0.310127,0.022074872
3,0.3138822,0.018509787
4,0.3089621,0.033435106
5,0.3125189,0.032637255
6,0.3179209,0.025954961
7,0.3148938,0.036123555
8,0.3222529,0.028875494
9,0.3215492,0.032795264
10,0.3307552,0.033322608
11,0.3267693,0.03560492
12,0.3343213,0.030022914
13,0.3345364,0.037289175
14,0.3447888,0.040595326
15,0.3456324,0.03654883
16,0.3537112,0.037342835
17,0.3435093,0.041227139
18,0.3544946,0.049604174
19,0.3568063,0.046804386
20,0.3621421,0.055783099
21,0.369354,0.068010337
22,0.3719785,0.049746859
23,0.3629976,0.061674368
24,0.3726424,0.067663567
25,0.3838094,0.075867765
26,0.3825709,0.071793513
27,0.385007,0.074945494
28,0.3847151,0.084524477
29,0.3858095,0.084793836
30,0.3978286,0.089784501
31,0.3888637,0.085065121
32,0.3883107,0.086116792
33,0.3894351,0.089348927
34,0.4046435,0.112182722
35,0.3914738,0.111395133
36,0.4046104,0.108897743
37,0.4184995,0.117616226
38,0.4184327,0.126503886
39,0.4209419,0.117085349
40,0.4211828,0.12017968
41,0.4171644,0.118247727
42,0.4251847,0.126790239
43,0.416693,0.111583614
44,0.4266609,0.125186682
45,0.4329732,0.120213946
46,0.4279454,0.130133174
47,0.4183011,0.12516585
48,0.4348824,0.13958318
49,0.4307311,0.137484033
50,0.4331958,0.13472564
51,0.4277098,0.136062586
52,0.4404511,0.142465203
53,0.4520677,0.155619567
54,0.4404296,0.143563261
55,0.4410529,0.165700927
56,0.4484411,0.155977234
57,0.4575544,0.170336951
58,0.460017,0.175004774
59,0.4599093,0.158996842
60,0.4620501,0.168395754
61,0.4666924,0.181199698
62,0.4746937,0.19452579
63,0.4860939,0.200968048
64,0.4891801,0.190732109
65,0.4934184,0.202152225
66,0.5018475,0.223557601
67,0.5065236,0.226792729
68,0.5186771,0.248609393
69,0.5311942,0.25487354
70,0.5503153,0.255759247
71,0.5463292,0.273330155
72,0.5526625,0.267426984
73,0.5643074,0.27228256
74,0.5742699,0.282355046
75,0.5762262,0.292359798
76,0.5884782,0.302360232
77,0.6029923,0.30575163
78,0.6078305,0.304276037
79,0.6221887,0.338388799
80,0.6309501,0.338131867
81,0.643688,0.322393538
82,0.6504588,0.347384706
83,0.679733,0.340511139
84,0.6709905,0.351613306
85,0.6819713,0.327519182
86,0.6916474,0.339496231
87,0.7195554,0.358388262
88,0.7222295,0.385337453
89,0.7520979,0.375937461
90,0.7633645,0.39546097
91,0.7724347,0.387998525
92,0.8131386,0.407964598
93,0.8164078,0.416448632
94,0.8632458,0.451165627
95,0.8594148,0.447734992
96,0.882882,0.466707822
97,0.9036811,0.493870517
98,0.925771,0.505488901
99,0.9453171,0.511176647
100,0.9668517,0.527877919
101,1.0024382,0.558357925
102,1.0229229,0.571593353
103,1.0476902,0.573889355
104,1.0909399,0.619297641
105,1.1203466,0.638690091
106,1.1503099,0.644152228
107,1.1897278,0.691582238
108,1.2224467,0.699040666
109,1.2553709,0.731603726
110,1.3115758,0.76456085
111,1.3582172,0.796438251
112,1.3862614,0.83740216
113,1.4090922,0.85935598
114,1.4427432,0.862237676
115,1.5161379,0.890842555
116,1.5553094,0.913940891
117,1.5874692,0.9446684
118,1.6120076,0.955333232
119,1.658243,0.976200709
120,1.7233685,1.009625382
121,1.7253038,0.973232853
122,1.7480086,0.99357379
123,1.7947784,1.031263308
124,1.8365077,1.033947837
125,1.8579396,1.042449001
126,1.8982975,1.051807535
127,1.9240783,1.060026937
128,1.9488537,1.033999003
129,1.9947138,1.079826867
130,2.0388869,1.085922981
131,2.0982744,1.082923395
132,2.1545438,1.106754832
133,2.1740576,1.086780307
134,2.2301623,1.142010325
135,2.2740336,1.145393163
136,2.2805454,1.146360967
137,2.3354091,1.172610414
138,2.3836483,1.200116041
139,2.4051415,1.194698439
140,2.4172013,1.198769564
141,2.4575359,1.218072874
142,2.5407131,1.259211769
143,2.5362629,1.230680819
144,2.6025762,1.26408932
145,2.6324388,1.280787379
146,2.6805413,1.295361681
147,2.7241092,1.312089604
148,2.7518472,1.323203891
149,2.8009319,1.334527364
150,2.8353021,1.319205882
151,2.8554652,1.314078275
152,2.9179265,1.350106007
153,2.9045714,1.311502769
154,3.0211537,1.377337924
155,3.0250946,1.380650489
156,3.0821347,1.397645366
157,3.098915,1.384000639
158,3.1779356,1.443911368
159,3.1787535,1.427136476
160,3.2674256,1.478310114
161,3.3282816,1.512872864
162,3.3637349,1.551125177
163,3.4201924,1.55167684
164,3.4680184,1.576243492
165,3.4619315,1.576770944
166,3.5640544,1.646331549
167,3.607785,1.660242625
168,3.6228459,1.642490943
169,3.677347,1.713164946
170,3.6905657,1.720135401
171,3.7443661,1.751136361
172,3.7627374,1.729246546
173,3.7975451,1.75009224
174,3.87325,1.757806657
175,3.926808,1.755715753
176,3.908675,1.742271006
177,3.941609,1.721472143
178,4.0048638,1.76455754
179,4.00549,1.762269419
180,4.04523,1.755753379
